"aircraft_serial_number","ata_chapter","ata_description","jasc_code","operator_control_number","failed_part","severity","jasc_description"
33203,25,"Equipment / Furnishings","2560","AALA202510081582","other",1,"EMERGENCY EQUIPMENT"
31093,25,"Equipment / Furnishings","2560","AALA202510134744","battery",1,"EMERGENCY EQUIPMENT"
29549,25,"Equipment / Furnishings","2560","AALA202510132190","other",1,"EMERGENCY EQUIPMENT"
31083,52,"Doors","5250","AALA202510178649","door",0,"FIXED INNER DOORS"
29529,28,"Fuel","2800","AALA202510175231","CND",1,"AIRCRAFT FUEL SYSTEM"
33207,28,"Fuel","2840","AALA202510218901","other",3,"ACFT FUEL INDICATING SYSTEM"
31217,25,"Equipment / Furnishings","2560","AALA202510224338","battery",1,"EMERGENCY EQUIPMENT"
31177,53,"Fuselage","5320","AALA202510233747","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31143,53,"Fuselage","5310","AALA202403254821","other",0,"FUSELAGE MAIN, STRUCTURE"
30598,51,"Standard Practices And Structures - General","5100","AALA202404016004","other",0,"STANDARD PRACTICES/STRUCTURES"
29547,56,"Windows","5610","AALA202403268518","window",3,"FLIGHT COMPARTMENT WINDOWS"
29528,52,"Doors","5250","AALA202403269284","door",0,"FIXED INNER DOORS"
33314,53,"Fuselage","5310","AALA202403047488","duct",0,"FUSELAGE MAIN, STRUCTURE"
29534,49,"Airborne Auxiliary Power","4910","AALA202404056514","door",0,"APU COWLING/CONTAINMENT"
31210,25,"Equipment / Furnishings","2560","AALA202403151891","other",1,"EMERGENCY EQUIPMENT"
29504,53,"Fuselage","5300","AALA202403153669","CND",0,"FUSELAGE STRUCTURE (GENERAL)"
29532,53,"Fuselage","5320","AALA202404018021","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31229,33,"Lights","3350","AALA202403043629","other",3,"EMERGENCY LIGHTING"
30083,53,"Fuselage","5310","AALA202405073717","wheel",0,"FUSELAGE MAIN, STRUCTURE"
33346,52,"Doors","5210","AALA202403156763","door",3,"PASSENGER/CREW DOORS"
31097,28,"Fuel","2820","AALA202403183505","CND",1,"ACFT FUEL DISTRIB. SYSTEM"
30082,53,"Fuselage","5310","AALA202403257167","other",0,"FUSELAGE MAIN, STRUCTURE"
31214,33,"Lights","3350","AALA202403250239","other",1,"EMERGENCY LIGHTING"
33519,25,"Equipment / Furnishings","2560","AALA202408058625","other",1,"EMERGENCY EQUIPMENT"
44449,52,"Doors","5250","AALA202403259883","door",0,"FIXED INNER DOORS"
29529,53,"Fuselage","5320","AALA202403044846","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31190,25,"Equipment / Furnishings","2560","AALA202403049227","other",1,"EMERGENCY EQUIPMENT"
30084,25,"Equipment / Furnishings","2560","AALA202403067643","pack",1,"EMERGENCY EQUIPMENT"
29526,25,"Equipment / Furnishings","2560","AALA202403115604","other",1,"EMERGENCY EQUIPMENT"
31237,33,"Lights","3350","AALA202403154082","other",1,"EMERGENCY LIGHTING"
30082,53,"Fuselage","5340","AALA202403064332","other",0,"FUSELAGE MAIN, ATTACH FITTINGS"
29539,53,"Fuselage","5310","AALA202502062315","other",0,"FUSELAGE MAIN, STRUCTURE"
33211,53,"Fuselage","5330","AALA202404091772","other",0,"FUSELAGE MAIN, PLATE/SKIN"
30600,52,"Doors","5250","AALA202403142331","door",0,"FIXED INNER DOORS"
31143,53,"Fuselage","5320","AALA202403254170","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
44467,33,"Lights","3350","AALA202403271415","door",1,"EMERGENCY LIGHTING"
44473,53,"Fuselage","5300","AALA202505097582","other",3,"FUSELAGE STRUCTURE (GENERAL)"
44446,33,"Lights","3350","AALA202404034448","other",1,"EMERGENCY LIGHTING"
30598,55,"Stabilizers","5510","AALA202404049069","other",0,"HORIZONTAL STABILIZER STRUCTURE"
30920,27,"Flight Controls","2750","AALA202403180013","sensor",3,"TE FLAP CONTROL SYSTEM"
30083,53,"Fuselage","5320","AALA202404106272","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29506,53,"Fuselage","5320","AALA202403156878","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31067,33,"Lights","3350","AALA202403184532","battery",1,"EMERGENCY LIGHTING"
31248,25,"Equipment / Furnishings","2560","AALA202403183092","door",1,"EMERGENCY EQUIPMENT"
33521,28,"Fuel","2820","AALA202403265651","valve",3,"ACFT FUEL DISTRIB. SYSTEM"
29534,53,"Fuselage","5320","AALA202403272587","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30598,53,"Fuselage","5320","AALA202403272198","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
33315,53,"Fuselage","5310","AALA202404171370","other",0,"FUSELAGE MAIN, STRUCTURE"
29529,53,"Fuselage","5320","AALA202403048793","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29532,53,"Fuselage","5320","AALA202404015814","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30906,32,"Landing Gear","3230","AALA202404018625","CND",3,"LANDING GEAR RETRACT/EXTEND SYSTEM"
31161,53,"Fuselage","5340","AALA202404019697","hinge",0,"FUSELAGE MAIN, ATTACH FITTINGS"
33331,33,"Lights","3350","AALA202403126920","other",1,"EMERGENCY LIGHTING"
33315,52,"Doors","5240","AALA202404098738","door",0,"SERVICE DOORS"
33331,53,"Fuselage","5320","AALA202403138173","door",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30082,53,"Fuselage","5320","AALA202403137881","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29564,25,"Equipment / Furnishings","2560","AALA202403136231","door",1,"EMERGENCY EQUIPMENT"
30084,52,"Doors","5250","AALA202403141375","door",0,"FIXED INNER DOORS"
29506,53,"Fuselage","5320","AALA202403185985","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31203,33,"Lights","3350","AALA202403196803","door",1,"EMERGENCY LIGHTING"
30089,53,"Fuselage","5310","AALA202502107272","other",0,"FUSELAGE MAIN, STRUCTURE"
33315,53,"Fuselage","5320","AALA202404228335","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29534,53,"Fuselage","5320","AALA202403255069","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
40767,52,"Doors","5250","AALA202403256134","door",0,"FIXED INNER DOORS"
31167,53,"Fuselage","5330","AALA202403047504","other",0,"FUSELAGE MAIN, PLATE/SKIN"
30097,25,"Equipment / Furnishings","2530","AALA202403057310","CND",1,"BUFFET/GALLEYS"
29535,25,"Equipment / Furnishings","2560","AALA202403065444","door",1,"EMERGENCY EQUIPMENT"
44448,25,"Equipment / Furnishings","2530","AALA202403111816","oven",3,"BUFFET/GALLEYS"
30082,51,"Standard Practices And Structures - General","5100","AALA202403063453","other",0,"STANDARD PRACTICES/STRUCTURES"
31154,56,"Windows","5610","AALA202403089997","window",3,"FLIGHT COMPARTMENT WINDOWS"
30598,53,"Fuselage","5320","AALA202404041916","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
33486,33,"Lights","3350","AALA202403081754","other",1,"EMERGENCY LIGHTING"
30083,53,"Fuselage","5310","AALA202405070173","wheel",0,"FUSELAGE MAIN, STRUCTURE"
30083,53,"Fuselage","5310","AALA202405075990","wheel",0,"FUSELAGE MAIN, STRUCTURE"
29516,51,"Standard Practices And Structures - General","5100","AALA202403113978","other",0,"STANDARD PRACTICES/STRUCTURES"
31107,33,"Lights","3350","AALA202403135172","other",1,"EMERGENCY LIGHTING"
31143,53,"Fuselage","5320","AALA202403256565","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31143,53,"Fuselage","5320","AALA202403252246","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
33329,52,"Doors","5250","AALA202403136452","CND",0,"FIXED INNER DOORS"
