"id","operator_control_number","difficulty_date","submission_date","operator_designator_id","submitter_designator_id","submitter_type_code","receiving_region_code","receiving_district_office","sdr_type","nature_condition_a","nature_condition_b","nature_condition_c","precautionary_proc_a","precautionary_proc_b","precautionary_proc_c","precautionary_proc_d","stage_of_operation","how_discovered","discrepancy","aircraft_id","operator_id","jasc_code","engine_make","engine_model","engine_serial_number","engine_total_time","engine_total_cycles","propeller_make","propeller_model","propeller_serial_number","propeller_total_time","propeller_total_cycles","part_make","part_name","part_number","part_serial_number","part_condition","part_location","part_total_time","part_total_cycles","part_time_since","part_since_code","component_make","component_model","component_name","component_part_number","component_serial_number","component_location","component_total_time","component_total_cycles","component_time_since","component_since_code","fuselage_station_from","fuselage_station_to","stringer_from","stringer_from_side","stringer_to","stringer_to_side","wing_station_from","wing_station_from_side","wing_station_to","wing_station_to_side","butt_line_from","butt_line_from_side","butt_line_to","butt_line_to_side","water_line_from","water_line_to","crack_length","number_of_cracks","corrosion_level","structural_other","aog_flag","severity","emer_flag","divert_flag","fail_flag","fault_flag","inter_flag","fire_flag","leak_flag","press_flag","elec_flag","fuel_flag","hyd_flag","flightctrl_flag","struct_flag","mel_flag","failed_part","jasc_code_description","ata_chapter","ata_chapter_description"
1090,"AALA202510168335","2025-10-14","2025-10-16",7,7,"A","SW","21","A","O","","","K","","","","IN","V","AIRCRAFT WAS NOT GROUNDED: FLIGHT DECK DOOR HARD TO OPEN. CLEANED AND LUBED LATCH, OPERATIONAL CHECK GOOD. PER AMM 52-51-00.",607,7,"5250","","","","","","","","","","","","LATCH","","","LACK OF LUBE","ZONE 800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","latch","FIXED INNER DOORS",52,"Doors"
2701,"AALA202403059576","2024-03-04","2024-03-05",7,7,"A","SW","21","A","O","","","K","","","","NR","O","AIRCRAFT WAS GROUNDED: EMERGENCY EXIT LIGHTS BATTERIES ARE DISCHARGED. CHARGE EMERGENCY BATTERY PAX. PER AMM 33-51-06.",790,7,"3350","","","","","","","","","","","","BATTERY","UNKNOWN","","DISCHARGED","EMERGENCY LIGHTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,3,"","","","","","","","","","","","","","","battery","EMERGENCY LIGHTING",33,"Lights"
3533,"AALA202406119110","2024-06-10","2024-06-11",7,7,"A","SW","21","A","O","","","O","","","","NR","9","AIRCRAFT WAS NOT GROUNDED: EXIT SIGN AT L2 DOOR IS DAMAGED. REMOVED AND REPLACE EXIT SIGN LIGHT ASSEMBLY. PER AMM 33-51-01.",1180,7,"3350","","","","","","","","","","","","SIGN","UNKNOWN","","DAMAGED","CABIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","door","EMERGENCY LIGHTING",33,"Lights"
28264,"AALA202302200700","2023-02-20","2023-02-20",7,7,"A","SW","23","A","O","","","K","","","","IN","V","AIRCRAFT WAS NOT GROUNDED: EXIT PATH LIGHTING AT ROW 19C LOOSE. **SUPPLEMENTAL REPORT WILL BE SUBMITTED.** (OPEN)",1335,7,"3350","","","","","","","","","","","","NONE","","","NONE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","CND","EMERGENCY LIGHTING",33,"Lights"
28705,"AALA202303145585","2023-03-13","2023-03-14",7,7,"A","SW","23","A","O","","","K","","","","IN","V","AIRCRAFT WAS NOT GROUNDED: AIRCRAFT IN LAVATORY E DOOR DIFFICULT TO UNLATCH FROM WITHIN LAVATORY. REMOVED AND REPLACED LAVATORY E DOOR LATCH.",246,7,"5250","","","","","","","","","","","","DOOR LATCH","","","STICKING","ZONE 800 - DOORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","latch","FIXED INNER DOORS",52,"Doors"
28733,"AALA202303134203","2023-03-11","2023-03-13",7,7,"A","SW","23","A","O","","","K","","","","UK","O","AIRCRAFT WAS NOT GROUNDED: FIRST CLASS LAVATORY DOOR STICKS. LUBED DOOR. ACCOMPLISHED SATISFACTORY CHECK.",161,7,"5250","","","","","","","","","","","","DOOR","","","LACK OF LUBE","ZONE 900 - LAV/G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","door","FIXED INNER DOORS",52,"Doors"
28814,"AALA202302064978","2023-01-30","2023-02-06",7,7,"A","SW","23","A","O","","","K","","","","IN","V","AIRCRAFT IN BASE MAINTENANCE: GOUGE IN SEAT TRACK LOCATED AT BS 495 AND LBL 24.5. REPAIRED SEAT TRACK PER SRM 53-00-52-2R-4.",583,7,"5347","","","","","","","","","","","","SEAT TRACK","","","GOUGED","ZONE 200 - FUSE","","","","","","","","","","","","","","","495","","","","","","","","","","24.5","L","","","","","","","","","",0,"","","","","","","","","","","","",1,"","other","SEAT/CARGO ATTACH FITTINGS",53,"Fuselage"
28857,"AALA202301307718","2023-01-27","2023-01-30",7,7,"A","SW","23","A","O","","","O","","","","NR","9","AIRCRAFT WAS NOT GROUNDED: AFT LEFT LAVATORY DOOR IS DIFFICULT TO OPERATE. LUBRICATED DOOR TRACK. ACCOMPLISHED SATISFACTORY OPERATIONAL CHECK.",1393,7,"5250","","","","","","","","","","","","TRACK","","","LACK OF LUBE","LAVATORY DOOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","door","FIXED INNER DOORS",52,"Doors"
28903,"AALA202303168861","2023-03-14","2023-03-16",7,7,"A","SW","23","A","O","","","K","","","","NR","O","AIRCRAFT WAS GROUNDED: DOOR 1L GUST LOCK JAMMED, WILL NOT MOVE. **SUPPLEMENTAL REPORT REQUIRED** (OPEN)",509,7,"5210","","","","","","","","","","","","UNKNOWN","","","UNKNOWN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,3,"","","","","","","","","","","","","","","CND","PASSENGER/CREW DOORS",52,"Doors"
47515,"AALA202306147859","2023-06-10","2023-06-14",7,7,"A","SW","23","A","O","","","K","","","","NR","V","AIRCRAFT WAS NOT GROUNDED: FLOOR NEAR ROW 18 AND 19 SOFT, SEEMS WEAK. **SUPPLEMENTAL REPORT WILL BE SUBMITTED.** (OPEN)",688,7,"5320","","","","","","","","","","","","UNKNOWN","UNKNOWN","","UNKNOWN","UNKNOWN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","CND","FUSELAGE MISCELLANEOUS STRUCTURE",53,"Fuselage"
